FID,AREA,PERIMETER,AGCENSP020,STATE,COUNTY,FIPS,ST,M003_07,M009_07,M010_07,M011_07,M013_07,M016_07,M026_07,M050_07,M086_07,M089_07,M118_07,M124_07,M127_07,M136_07,M147_07,M023_07,M142_07,M163_07,M099_07,M090_07,M172_07,M188_07,M193_07,M217_07,M233_07,M234_07,Shape_Leng,Shape_Area
13,0.00014,0.07776,1596,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,6347.621136,1170241.293
14,0.00022,0.09257,1597,OR,Columbia,41009,41,72,85.34,13.79,0.87,0,0,0,49369.29,37.03,29.59,91.8,57.7,23.73,18.49,53.53,0,1.82,11,39679,9.83,0,0,0,12,50,13,7640.15642,1881536.849
15,0.1988,2.20052,1599,OR,Columbia,41009,41,72,85.34,13.79,0.87,0,0,0,49369.29,37.03,29.59,91.8,57.7,23.73,18.49,53.53,0,1.82,11,39679,9.83,0,0,0,12,50,13,202879.3741,1709335612
16,2.00E-05,0.02026,1600,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,1735.166007,187969.7366
17,0.00027,0.11218,1609,OR,Columbia,41009,41,72,85.34,13.79,0.87,0,0,0,49369.29,37.03,29.59,91.8,57.7,23.73,18.49,53.53,0,1.82,11,39679,9.83,0,0,0,12,50,13,9053.202606,2308158.694
18,0.00011,0.04737,1649,OR,Columbia,41009,41,72,85.34,13.79,0.87,0,0,0,49369.29,37.03,29.59,91.8,57.7,23.73,18.49,53.53,0,1.82,11,39679,9.83,0,0,0,12,50,13,4591.738524,902217.5222
19,0.96731,5.28897,1652,OR,Umatilla,41059,41,873,61.88,25.63,12.48,193413.1,557.95,23.47,162674.16,55.56,30.39,79.73,56.92,16.83,4.73,58.5,0,0,9332,115936,28.61,303203,0,0,41211,5077,5038,478208.1657,8369326589
20,0.94354,4.60632,1654,OR,Wallowa,41063,41,1004,52.28,40.49,7.22,61336.62,247.73,62.31,56243.21,18.19,9.3,82.51,57.9,16.92,8.05,42.08,0.31,0.04,0,75925,63.32,8117,0,0,101,0,0,415086.9427,8165220348
21,0.60934,3.55673,1688,OR,Morrow,41049,41,2623,51.78,28.03,20.19,839711.9,509.63,64.61,721382.59,43.92,22.23,77.43,58.33,14.25,10.68,58.67,0,25.95,6652,207000,31.88,170060,0,0,21574,0,0,338364.2478,5288178888
22,0.60717,4.91758,1693,OR,Union,41061,41,554,64.09,29.66,6.25,66185.95,431.64,27.41,59293.7,29,20.09,89.32,58.07,16.36,7.47,39.99,0.83,0.01,361,93959,53.67,26930,0,0,0,435,286,453044.3148,5279432162
23,0.36577,4.0134,1703,OR,Gilliam,41021,41,4472,46.95,28.66,24.39,225902.24,262.5,17.56,171271.03,40.17,15.87,68.29,59.51,17.07,1.42,34.51,0,0,0,178524,5.05,97710,0,0,0,0,0,360957.3019,3176552697
24,0.3273,4.40441,1709,OR,Tillamook,41057,41,125,45.7,23.18,31.13,367072.24,131.59,98.92,286448.98,46.9,24.09,77.48,56.26,18.54,126.46,38.9,0.92,57.97,0,134016,29.51,0,0,0,32,0,0,406719.8834,2838347865
25,0.21756,2.78681,1711,OR,Washington,41067,41,73,64.34,26.41,9.26,176819.86,3561.95,5.26,139773.2,72.37,64.71,83.59,56.61,21.86,7.38,51.49,64.01,27.06,101,81575,30.32,9752,0,0,3525,9356,1058,247942.1193,1883467991
26,0.24684,3.175,1723,OR,Sherman,41055,41,2471,43.75,33.17,23.08,152638.9,236.94,5.16,102878.7,67.22,24.72,73.08,56.6,11.06,0.8,30.85,0,0,0,161189,1.08,115237,0,0,0,315,315,286171.1365,2142751582
27,0.12889,3.08402,1727,OR,Multnomah,41051,41,51,65.54,26.29,8.17,150171.17,5973.57,3.38,116131.6,70.15,47.97,82.77,58.18,24.69,9.7,35.75,71.18,0,0,73682,49.02,826,0,0,2575,153,26,265901.2314,1116028724
28,0.16096,1.78335,1728,OR,Hood River,41027,41,49,44.12,34.9,20.98,181633.18,5826.95,1.83,165472.17,68.1,62.79,69.44,56.2,18.81,4.58,39.27,2.13,0,0,87283,88.9,0,0,0,51,14741,13236,167057.7861,1394439849
29,0.71185,5.2111,1730,OR,Wasco,41065,41,1463,58.55,30.2,11.25,138461.97,967.11,13.27,114011.93,19.02,8.49,81.2,57.47,17.1,2.6,45.25,0.21,0,0,106144,25.51,56091,0,0,18,11434,10839,464068.963,6205963689
