county_name,year,acres
MULTNOMAH,2012,7623
MULTNOMAH,2007,9061
MULTNOMAH,2002,9987
MULTNOMAH,1997,11122
POLK,2012,59951
POLK,2007,81135
POLK,2002,68073
POLK,1997,68057
TILLAMOOK,2012,8546
TILLAMOOK,2007,6042
TILLAMOOK,2002,4150
TILLAMOOK,1997,5204
WASHINGTON,2012,51623
WASHINGTON,2007,53651
WASHINGTON,2002,52199
WASHINGTON,1997,52413
YAMHILL,2012,59443
YAMHILL,2007,56882
YAMHILL,2002,68640
YAMHILL,1997,66837
GILLIAM,2012,72715
GILLIAM,2007,72900
GILLIAM,2002,70344
GILLIAM,1997,62946
HOOD RIVER,2012,5450
HOOD RIVER,2007,5534
HOOD RIVER,2002,4947
HOOD RIVER,1997,5359
MORROW,2012,108648
MORROW,2007,112362
MORROW,2002,106960
MORROW,1997,95152
SHERMAN,2012,92214
SHERMAN,2007,71814
SHERMAN,2002,82285
SHERMAN,1997,79814
WASCO,2012,45329
WASCO,2007,46576
WASCO,2002,61650
WASCO,1997,55404
BAKER,2012,43993
BAKER,2007,47369
BAKER,2002,41542
BAKER,1997,42222
UMATILLA,2012,187084
UMATILLA,2007,252051
UMATILLA,2002,238767
UMATILLA,1997,264766
UNION,2012,44594
UNION,2007,61858
UNION,2002,52461
UNION,1997,64686
WALLOWA,2012,23379
WALLOWA,2007,26340
WALLOWA,2002,31842
WALLOWA,1997,29824
COOS,2012,6675
COOS,2007,4697
COOS,2002,5361
COOS,1997,5707
CURRY,2007,913
CURRY,1997,738
DOUGLAS,2012,19173
DOUGLAS,2007,19182
DOUGLAS,2002,15820
DOUGLAS,1997,19338
JACKSON,2012,9757
JACKSON,2007,13282
JACKSON,2002,15568
JACKSON,1997,15377
JOSEPHINE,2012,1687
JOSEPHINE,2007,2346
JOSEPHINE,2002,2550
JOSEPHINE,1997,3438
CROOK,2012,12892
CROOK,2007,14387
CROOK,2002,18062
CROOK,1997,19348
DESCHUTES,2012,8541
DESCHUTES,2007,6406
DESCHUTES,2002,7805
DESCHUTES,1997,9770
GRANT,2012,14707
GRANT,2007,16487
GRANT,2002,15877
GRANT,1997,19874
HARNEY,2012,61025
HARNEY,2007,55169
HARNEY,2002,49579
HARNEY,1997,47795
JEFFERSON,2012,27493
JEFFERSON,2007,27352
JEFFERSON,2002,32063
JEFFERSON,1997,32060
KLAMATH,2012,78374
KLAMATH,2007,59818
KLAMATH,2002,63734
KLAMATH,1997,74091
LAKE,2012,47741
LAKE,2007,37921
LAKE,2002,56061
LAKE,1997,59670
MALHEUR,2012,79689
MALHEUR,2007,91737
MALHEUR,2002,102925
MALHEUR,1997,112791
WHEELER,2007,4898
WHEELER,2002,6334
WHEELER,1997,6647
BENTON,2012,7519
BENTON,2007,9440
BENTON,2002,6850
BENTON,1997,11407
CLACKAMAS,2012,5962
CLACKAMAS,2007,5757
CLACKAMAS,2002,8276
CLACKAMAS,1997,9502
CLATSOP,1997,270
COLUMBIA,2012,499
COLUMBIA,2007,288
COLUMBIA,2002,252
COLUMBIA,1997,700
LANE,2012,7077
LANE,2007,9269
LANE,2002,11202
LANE,1997,16848
LINCOLN,2002,223
LINCOLN,1997,89
LINN,2012,21502
LINN,2007,29507
LINN,2002,36641
LINN,1997,54539
MARION,2012,36553
MARION,2007,35657
MARION,2002,24100
MARION,1997,40869
MULTNOMAH,2012,2307
MULTNOMAH,2007,518
MULTNOMAH,2002,712
MULTNOMAH,1997,1324
POLK,2012,15601
POLK,2007,10779
POLK,2002,15112
POLK,1997,18775
TILLAMOOK,2012,736
TILLAMOOK,2007,511
TILLAMOOK,2002,377
TILLAMOOK,1997,621
WASHINGTON,2012,11499
WASHINGTON,2007,11993
WASHINGTON,2002,12227
WASHINGTON,1997,16252
YAMHILL,2012,15292
YAMHILL,2007,10376
YAMHILL,2002,9287
YAMHILL,1997,9842
GILLIAM,2012,17841
GILLIAM,2007,24350
GILLIAM,2002,24913
GILLIAM,1997,25522
HOOD RIVER,2012,1328
HOOD RIVER,2007,1204
HOOD RIVER,2002,1854
HOOD RIVER,1997,2202
MORROW,2012,91946
MORROW,2007,75004
MORROW,2002,70580
MORROW,1997,112053
SHERMAN,2012,27999
SHERMAN,2007,37850
SHERMAN,2002,38199
SHERMAN,1997,30979
WASCO,2012,14111
WASCO,2007,13325
WASCO,2002,15347
WASCO,1997,12062
BAKER,2012,7499
BAKER,2007,1594
BAKER,2002,5180
BAKER,1997,9141
UMATILLA,2012,120671
UMATILLA,2007,103810
UMATILLA,2002,87386
UMATILLA,1997,96992
UNION,2012,13573
UNION,2007,7918
UNION,2002,12390
UNION,1997,11459
WALLOWA,2012,15923
WALLOWA,2007,7248
WALLOWA,2002,5665
WALLOWA,1997,12126
COOS,2012,753
COOS,2007,1470
COOS,2002,1255
COOS,1997,1323
CURRY,2007,422
CURRY,1997,475
DOUGLAS,2012,1083
DOUGLAS,2007,1794
DOUGLAS,2002,1979
DOUGLAS,1997,3570
JACKSON,2012,1426
JACKSON,2007,1864
JACKSON,2002,2899
JACKSON,1997,2855
JOSEPHINE,2012,80
JOSEPHINE,2007,191
JOSEPHINE,2002,35
JOSEPHINE,1997,196
CROOK,2012,825
CROOK,2007,2622
CROOK,2002,461
CROOK,1997,2321
DESCHUTES,2012,1039
DESCHUTES,2007,806
DESCHUTES,2002,571
DESCHUTES,1997,1015
GRANT,2012,3265
GRANT,2007,3520
GRANT,2002,2843
GRANT,1997,1434
HARNEY,2012,4106
HARNEY,2007,618
HARNEY,2002,6378
HARNEY,1997,8620
JEFFERSON,2012,6276
JEFFERSON,2007,4607
JEFFERSON,2002,5702
JEFFERSON,1997,9059
KLAMATH,2012,10302
KLAMATH,2007,19518
KLAMATH,2002,21152
KLAMATH,1997,16187
LAKE,2012,1977
LAKE,2007,3902
LAKE,2002,6363
LAKE,1997,6926
MALHEUR,2012,18067
MALHEUR,2007,14964
MALHEUR,2002,16039
MALHEUR,1997,27566
WHEELER,2007,605
WHEELER,2002,1058
WHEELER,1997,1102
BENTON,2002,1036
CLACKAMAS,2012,3230
CLACKAMAS,2007,4524
CLACKAMAS,2002,3500
CLATSOP,2012,109
CLATSOP,2007,235
CLATSOP,2002,124
COLUMBIA,2012,641
COLUMBIA,2007,959
COLUMBIA,2002,973
LANE,2012,4663
LANE,2007,4633
LANE,2002,2867
LINCOLN,2012,286
LINCOLN,2007,248
LINN,2012,2806
LINN,2007,2924
LINN,2002,2959
MARION,2012,2393
MARION,2002,2770
MULTNOMAH,2012,515
MULTNOMAH,2007,374
MULTNOMAH,2002,321
POLK,2012,1042
POLK,2002,1159
TILLAMOOK,2012,17
WASHINGTON,2012,1755
WASHINGTON,2007,1547
WASHINGTON,2002,2170
YAMHILL,2012,3220
YAMHILL,2002,2034
GILLIAM,2002,1017
HOOD RIVER,2012,1366
HOOD RIVER,2007,890
HOOD RIVER,2002,740
MORROW,2007,7107
SHERMAN,2012,1714
SHERMAN,2002,1524
WASCO,2007,1642
BAKER,2007,3680
BAKER,2002,1753
UMATILLA,2012,10824
UMATILLA,2007,9896
UMATILLA,2002,1763
UNION,2012,1338
UNION,2007,3498
UNION,2002,1661
WALLOWA,2007,1136
WALLOWA,2002,839
COOS,2012,1075
COOS,2002,868
CURRY,2012,204
DOUGLAS,2012,2875
DOUGLAS,2007,3477
DOUGLAS,2002,2649
JACKSON,2012,3685
JACKSON,2007,5371
JACKSON,2002,4074
JOSEPHINE,2012,712
JOSEPHINE,2007,772
CROOK,2012,1327
CROOK,2007,1353
DESCHUTES,2012,1695
DESCHUTES,2007,3078
DESCHUTES,2002,2241
GRANT,2012,932
GRANT,2002,1956
HARNEY,2012,2693
HARNEY,2007,3563
JEFFERSON,2012,789
JEFFERSON,2007,716
JEFFERSON,2002,590
KLAMATH,2012,3481
KLAMATH,2007,1776
KLAMATH,2002,4670
LAKE,2012,4213
LAKE,2007,12109
LAKE,2002,6184
MALHEUR,2012,3604
MALHEUR,2007,3921
WHEELER,2007,31
BENTON,2007,2008
BENTON,2002,478
CLACKAMAS,2012,1480
CLACKAMAS,2007,1496
CLACKAMAS,2002,1840
CLATSOP,2012,222
CLATSOP,2007,130
CLATSOP,2002,224
COLUMBIA,2007,542
LANE,2012,8718
LANE,2007,7710
LANE,2002,1065
LINCOLN,2007,212
LINN,2012,3470
LINN,2007,1873
LINN,2002,6081
MARION,2012,2748
MARION,2002,485
MULTNOMAH,2012,1459
MULTNOMAH,2007,151
MULTNOMAH,2002,283
POLK,2012,1016
POLK,2007,2419
POLK,2002,713
TILLAMOOK,2007,455
WASHINGTON,2012,1763
WASHINGTON,2007,358
YAMHILL,2012,4223
YAMHILL,2007,2952
YAMHILL,2002,1270
GILLIAM,2002,2411
HOOD RIVER,2012,20
HOOD RIVER,2007,464
BAKER,2012,2430
BAKER,2007,1887
UMATILLA,2012,11294
UMATILLA,2007,2379
UMATILLA,2002,11120
UNION,2012,1512
UNION,2007,2234
WALLOWA,2012,740
WALLOWA,2007,2022
COOS,2007,465
CURRY,2012,129
DOUGLAS,2012,1047
DOUGLAS,2007,1417
DOUGLAS,2002,792
JACKSON,2007,1546
JACKSON,2002,549
JOSEPHINE,2012,73
JOSEPHINE,2007,12
CROOK,2012,230
CROOK,2007,200
CROOK,2002,1465
DESCHUTES,2012,58
GRANT,2012,124
GRANT,2007,3056
HARNEY,2007,3471
JEFFERSON,2007,954
KLAMATH,2012,1704
KLAMATH,2007,2458
MALHEUR,2002,2141
WHEELER,2007,454
BENTON,2012,9
BENTON,2002,33
CLACKAMAS,2012,394
CLACKAMAS,2007,146
CLACKAMAS,2002,795
COLUMBIA,2007,18
LANE,2012,97
LANE,2007,684
LANE,2002,160
LINN,2012,426
LINN,2007,695
LINN,2002,45
MARION,2012,294
MARION,2007,282
MARION,2002,170
MULTNOMAH,2012,33
MULTNOMAH,2007,152
MULTNOMAH,2002,51
POLK,2012,380
POLK,2002,287
WASHINGTON,2012,205
WASHINGTON,2007,124
YAMHILL,2012,58
YAMHILL,2002,303
HOOD RIVER,2012,108
HOOD RIVER,2007,9
UMATILLA,2012,8951
UMATILLA,2007,9766
UMATILLA,2002,2490
UNION,2007,270
WALLOWA,2007,22
DOUGLAS,2012,418
DOUGLAS,2007,142
JACKSON,2007,118
JACKSON,2002,111
JOSEPHINE,2012,59
JOSEPHINE,2007,42
CROOK,2012,11
CROOK,2007,65
DESCHUTES,2012,65
HARNEY,2007,22
JEFFERSON,2007,50
KLAMATH,2012,221
KLAMATH,2007,573
BENTON,2012,113
BENTON,2007,116
BENTON,2002,92
CLACKAMAS,2012,421
CLACKAMAS,2007,482
CLACKAMAS,2002,449
CLATSOP,2012,21
CLATSOP,2007,21
CLATSOP,2002,21
COLUMBIA,2012,69
COLUMBIA,2007,81
COLUMBIA,2002,76
LANE,2012,386
LANE,2007,423
LANE,2002,256
LINCOLN,2012,40
LINCOLN,2007,43
LINCOLN,2002,27
LINN,2012,189
LINN,2007,208
LINN,2002,149
MARION,2012,233
MARION,2007,210
MARION,2002,216
MULTNOMAH,2012,104
MULTNOMAH,2007,93
MULTNOMAH,2002,86
POLK,2012,95
POLK,2007,114
POLK,2002,105
TILLAMOOK,2012,15
TILLAMOOK,2007,21
TILLAMOOK,2002,7
WASHINGTON,2012,177
WASHINGTON,2007,201
WASHINGTON,2002,210
YAMHILL,2012,230
YAMHILL,2007,202
YAMHILL,2002,196
GILLIAM,2007,5
GILLIAM,2002,9
HOOD RIVER,2012,89
HOOD RIVER,2007,77
HOOD RIVER,2002,63
MORROW,2012,16
MORROW,2007,15
MORROW,2002,17
SHERMAN,2012,5
SHERMAN,2007,9
SHERMAN,2002,8
WASCO,2012,39
WASCO,2007,33
WASCO,2002,28
