county_name,year,Acres
COOS,2007,2281.0
COOS,2002,1273.0
CURRY,2007,121.0
CURRY,2002,185.0
DOUGLAS,2012,4340.0
DOUGLAS,2007,5036.0
DOUGLAS,2002,3441.0
JACKSON,2012,4977.0
JACKSON,2007,7035.0
JACKSON,2002,4734.0
JOSEPHINE,2012,844.0
JOSEPHINE,2007,826.0
JOSEPHINE,2002,558.0
CROOK,2012,1568.0
CROOK,2007,1618.0
CROOK,2002,2578.0
DESCHUTES,2012,1818.0
DESCHUTES,2007,3551.0
DESCHUTES,2002,2433.0
GRANT,2012,1056.0
GRANT,2007,3714.0
GRANT,2002,2421.0
HARNEY,2012,4877.0
HARNEY,2007,7056.0
HARNEY,2002,4354.0
JEFFERSON,2012,1374.0
JEFFERSON,2007,1720.0
JEFFERSON,2002,1053.0
KLAMATH,2012,5406.0
KLAMATH,2007,4807.0
KLAMATH,2002,8250.0
LAKE,2012,6603.0
LAKE,2007,13591.0
LAKE,2002,8634.0
MALHEUR,2012,4790.0
MALHEUR,2007,5912.0
MALHEUR,2002,4171.0
WHEELER,2007,485.0
WHEELER,2002,326.0
BENTON,2012,9809.0
BENTON,2007,10463.0
BENTON,2002,10202.0
BENTON,1997,15612.0
CLACKAMAS,2012,25717.0
CLACKAMAS,2007,27547.0
CLACKAMAS,2002,31762.0
CLACKAMAS,1997,30126.0
CLATSOP,2012,1348.0
CLATSOP,2007,1810.0
CLATSOP,2002,1684.0
CLATSOP,1997,1868.0
COLUMBIA,2012,6321.0
COLUMBIA,2007,6863.0
COLUMBIA,2002,8882.0
COLUMBIA,1997,7273.0
LANE,2012,21254.0
LANE,2007,25139.0
LANE,2002,23036.0
LANE,1997,22212.0
LINCOLN,2012,2164.0
LINCOLN,2007,1897.0
LINCOLN,2002,1936.0
LINCOLN,1997,1808.0
LINN,2012,17613.0
LINN,2007,24391.0
LINN,2002,33037.0
LINN,1997,24082.0
MARION,2012,21618.0
MARION,2007,33144.0
MARION,2002,37347.0
MARION,1997,32815.0
MULTNOMAH,2012,3928.0
MULTNOMAH,2007,4096.0
MULTNOMAH,2002,4384.0
MULTNOMAH,1997,2718.0
POLK,2012,17195.0
POLK,2007,13915.0
POLK,2002,18444.0
POLK,1997,23161.0
TILLAMOOK,2012,2107.0
TILLAMOOK,2007,2550.0
TILLAMOOK,2002,1925.0
TILLAMOOK,1997,1618.0
WASHINGTON,2012,11585.0
WASHINGTON,2007,17176.0
WASHINGTON,2002,17023.0
WASHINGTON,1997,19840.0
YAMHILL,2012,24440.0
YAMHILL,2007,30217.0
YAMHILL,2002,27170.0
YAMHILL,1997,24443.0
GILLIAM,2012,28667.0
GILLIAM,2007,19104.0
GILLIAM,2002,21233.0
GILLIAM,1997,34954.0
HOOD RIVER,2012,8391.0
HOOD RIVER,2007,10185.0
HOOD RIVER,2002,11173.0
HOOD RIVER,1997,11333.0
MORROW,2012,47762.0
MORROW,2007,58123.0
MORROW,2002,34991.0
MORROW,1997,50877.0
SHERMAN,2012,20002.0
SHERMAN,2007,17420.0
SHERMAN,2002,9844.0
SHERMAN,1997,18814.0
WASCO,2012,20703.0
WASCO,2007,20684.0
WASCO,2002,26072.0
WASCO,1997,19112.0
BAKER,2012,30766.0
BAKER,2007,21435.0
BAKER,2002,30648.0
BAKER,1997,29342.0
UMATILLA,2012,87491.0
UMATILLA,2007,84020.0
UMATILLA,2002,69871.0
UMATILLA,1997,62909.0
UNION,2012,29955.0
UNION,2007,28174.0
UNION,2002,40062.0
UNION,1997,36104.0
WALLOWA,2012,10912.0
WALLOWA,2007,15497.0
WALLOWA,2002,14067.0
WALLOWA,1997,14490.0
COOS,2012,6291.0
COOS,2007,8675.0
COOS,2002,7022.0
COOS,1997,7039.0
CURRY,2012,1298.0
CURRY,2007,1460.0
CURRY,2002,1825.0
CURRY,1997,1268.0
DOUGLAS,2012,19439.0
DOUGLAS,2007,20313.0
DOUGLAS,2002,20634.0
DOUGLAS,1997,20840.0
JACKSON,2012,13871.0
JACKSON,2007,17957.0
JACKSON,2002,16003.0
JACKSON,1997,16688.0
JOSEPHINE,2012,5083.0
JOSEPHINE,2007,5225.0
JOSEPHINE,2002,5820.0
JOSEPHINE,1997,6040.0
CROOK,2012,27411.0
CROOK,2007,26018.0
CROOK,2002,25299.0
CROOK,1997,22076.0
DESCHUTES,2012,14068.0
DESCHUTES,2007,15032.0
DESCHUTES,2002,16019.0
DESCHUTES,1997,16893.0
GRANT,2012,15055.0
GRANT,2007,13690.0
GRANT,2002,17575.0
GRANT,1997,19593.0
HARNEY,2012,109946.0
HARNEY,2007,76342.0
HARNEY,2002,54306.0
HARNEY,1997,71757.0
JEFFERSON,2012,10186.0
JEFFERSON,2007,13595.0
JEFFERSON,2002,15731.0
JEFFERSON,1997,11923.0
KLAMATH,2012,32683.0
KLAMATH,2007,44312.0
KLAMATH,2002,67279.0
KLAMATH,1997,49577.0
LAKE,2012,51834.0
LAKE,2007,78555.0
LAKE,2002,91994.0
LAKE,1997,50414.0
MALHEUR,2012,82176.0
MALHEUR,2007,62848.0
MALHEUR,2002,70410.0
MALHEUR,1997,71456.0
WHEELER,2012,4058.0
WHEELER,2007,4131.0
WHEELER,2002,5485.0
WHEELER,1997,5870.0
BENTON,2012,45850.0
BENTON,2007,48336.0
BENTON,2002,61854.0
BENTON,1997,46191.0
CLACKAMAS,2012,41296.0
CLACKAMAS,2007,53099.0
CLACKAMAS,2002,46253.0
CLACKAMAS,1997,41272.0
CLATSOP,1997,2364.0
COLUMBIA,2012,9456.0
COLUMBIA,2007,9941.0
COLUMBIA,2002,8055.0
COLUMBIA,1997,6132.0
LANE,2012,62373.0
LANE,2007,55322.0
LANE,2002,57727.0
LANE,1997,50572.0
LINCOLN,2002,1458.0
LINCOLN,1997,1325.0
LINN,2012,152458.0
LINN,2007,161902.0
LINN,2002,159309.0
LINN,1997,195531.0
MARION,2012,138419.0
MARION,2007,131031.0
MARION,2002,151768.0
MARION,1997,151077.0
MULTNOMAH,2012,7623.0
MULTNOMAH,2007,9061.0
MULTNOMAH,2002,9987.0
MULTNOMAH,1997,11122.0
POLK,2012,59951.0
POLK,2007,81135.0
POLK,2002,68073.0
POLK,1997,68057.0
TILLAMOOK,2012,8546.0
TILLAMOOK,2007,6042.0
TILLAMOOK,2002,4150.0
TILLAMOOK,1997,5204.0
WASHINGTON,2012,51623.0
WASHINGTON,2007,53651.0
WASHINGTON,2002,52199.0
WASHINGTON,1997,52413.0
YAMHILL,2012,59443.0
YAMHILL,2007,56882.0
YAMHILL,2002,68640.0
YAMHILL,1997,66837.0
GILLIAM,2012,72715.0
GILLIAM,2007,72900.0
GILLIAM,2002,70344.0
GILLIAM,1997,62946.0
HOOD RIVER,2012,5450.0
HOOD RIVER,2007,5534.0
HOOD RIVER,2002,4947.0
HOOD RIVER,1997,5359.0
MORROW,2012,108648.0
MORROW,2007,112362.0
MORROW,2002,106960.0
MORROW,1997,95152.0
SHERMAN,2012,92214.0
SHERMAN,2007,71814.0
SHERMAN,2002,82285.0
SHERMAN,1997,79814.0
WASCO,2012,45329.0
WASCO,2007,46576.0
WASCO,2002,61650.0
WASCO,1997,55404.0
BAKER,2012,43993.0
BAKER,2007,47369.0
BAKER,2002,41542.0
BAKER,1997,42222.0
UMATILLA,2012,187084.0
UMATILLA,2007,252051.0
